body,title
"История об отце, который, узнав об измене жены, решает забрать двенадцатилетнего сына и воспитывать его самостоятельно. Чтобы повысить свои шансы оставить ребёнка при разводе, он встаёт на путь превращения в показательного отца – вступает в родительский комитет класса. Там он встречает свою бывшую одноклассницу – Свету Суркову, которая за двадцать лет сильно изменилась. Превратилась из серой заучки в целеустремлённую и самоуверенную женщину, которая жёстко руководит мамочками из родительского комитета, и её побаивается даже директор школы. Неизменным осталось только одно – её неприязнь к Шмелёву, который в детстве не давал ей спокойной жизни. Чтобы оставаться в родительском комитете, он должен найти общий язык с Сурковой и остальными мамочками. ",Родком
"Осажденный немцами Ленинград. Памятники и величественные купола соборов затянуты камуфляжной сеткой, разрушенные здания, брошенные трамваи. С неба практически безостановочно, днем и ночью, сыплются бомбы и снаряды, превращая уцелевшие дома в руины и сея смерть. Выживших, оставшихся без крова людей, душит голод. ",Ленинград
"После тяжелой контузии в Афганистане в 1988 году Глеб около 10 лет находился в коме и очнулся в совершенно другой стране, с другим строем, другими жизненным и нравственными ценностями. После разрушения КГБ некоторые высокопоставленные офицеры спецслужб все чаще предпочитают действовать во имя собственных интересов. У них возникли тесные связи с делами, грязными политиками и авторитетами криминального мира. Все эти «деятели» нуждаются в услугах профессионалов, умеющих вести тайную войну. Глеб один из таких профессионалов, и его привлекают для этих дел. Опасность, постоянно угрожающая «узаконенному убийце» висит и над его близкими.",Слепой
"Москва, 1986 год. Начинается Перестройка. Обаятельный и неуклюжий мальчик Боря учится в хореографическом училище Большого Театра, любит музыку диско, мечтает танцевать с самой красивой девчонкой в классе и раскрывает удивительную тайну: его отец - великий танцор Михаил Барышников...",Мой папа — Барышников
"Савельев решает выйти в отставку. Начальник искусственно затягивает процесс подписания рапорта, ведь Савельев не только его друг и классный сыщик, но и настоящий профессионал. Савельев, уроженец провинции, вдруг осознаёт, что проживание в мегаполисе уже ничего не даёт ему в отношении интереса к жизни. Конечно, повлияли на его решение и взаимоотношения с женой. Савельев год, как разведён.",Кордон следователя Савельева
"Ослушавшись серьезного предупреждения, профессиональный киллер Феликс выполняет дорогостоящий заказ, поступивший к нему от «профсоюза киллеров». Некто, кого заказчик назвал «нефтянником», убит средь бела дня в многолюдном месте практически незаметно для окружающих. Сразу же после этого удачливому исполнителю приходится убедиться, что предупреждение было слишком серьезным - «нефтянника» ему не простят...",24 часа
"Кризис среднего возраста совпадает для героя с неприятным открытием: подглядев в свою карту у врача во время планового обследования, он читает, что смертельно болен и жить ему осталось несколько месяцев.",Час пик
"Многолетний семейный и творческий союз Любови Орловой и Григория Александрова при внешнем благополучии и блистательной плодотворности таил в себе немало «скрытых от мира слез». Худсоветы выносили по 200 замечаний на каждый их фильм, недоброжелатели и завистники не гнушались никакой подлостью, всесильное ОГПУ десятилетиями держало их «под колпаком» и только личная симпатия «Вождя народов» удерживала звездную пару на плаву. Смерть Сталина, на первый взгляд, избавила Орлову и Александрова от рискованной опеки. Но вместе с тем пришел и некоторый застой в их творчестве. Преодолеть его уже было гораздо сложнее...",Орлова и Александров
"Новости о нападениях на инкассаторов в наше время, увы, стали чем-то будничным, но это событие буквально потрясло общественность: один сотрудник известной инкассаторской службы убит, другой тяжело ранен. Кровавое преступление совершено столь четко и слаженно, что следователи не могут не заподозрить: у налетчиков есть информатор среди инкассаторов. Не подозревают они лишь о том, что денег украдено гораздо больше, чем значится по документам: в машине был «черный нал», о котором органам знать не следует. 	",Инкассаторы
"Обычный городской мальчишка приезжает вместе с папой погостить в деревню к своему дедушке. Там его встречают не очень дружелюбные местные ребята и девочка, в которую он сразу влюбляется. Дедушка постоянно рассказывает смешные байки о своем славном военном прошлом, которые, открывают для него абсолютно новый, волшебный мир, учат главным жизненным ценностям и делают настоящим мужчиной.",Спасибо деду за победу
,Волшебники двора
"Гопник Вася из провинциального городка волею случая становится Робином Гудом, борющимся с местечковой коррупцией, как известно, главным врагом  нашей необъятной родины.",Гоп-стоп
"Андрей Калинин сдает вступительные экзамены в театральный институт. Таланта у него маловато, но зато есть бездна обаяния. К тому же он влюбляется в одного из экзаменаторов — Елизавету Каминскую — актрису, поразившую его воображение еще в детстве...",Женская собственность
"Напряженные события картины отсылают к первым дням Великой Отечественной войны, когда на помощь русским военным частям, попавшим в окружение, был отправлен мощный суперсовременный бронепоезд.",Последний бронепоезд
"Сериал посвящен событиям, которые начались после истребления рода Серых Псов. Это история о том, как Волкодав был продан в рабство, как пережил изнурительную каторгу в Самоцветных горах и как после поединка с надсмотрщиком Волком выбрался на свободу.",Молодой Волкодав
"В городе Н-ск при загадочных обстоятельствах погибает дочь губернатора. Для выяснения обстоятельств её смерти в город Н-ск из Москвы приезжает следователь Олег Нестеров. В том месте, где нашли тело девушки, проходила ролевая игра по карело-финскому эпосу «Калевала», и председатель ролевиков Вера параллельно начинает свое расследование. Однако новые жертвы и серия загадочных событий все больше запутывают Олега и Веру. А вскоре Нестеров понимает, что в Н-ске играют не только ролевики. И банкир, и прокурор, и губернатор вовлечены в некую странную азартную игру, смысл которой скрыт от непосвященных.",Седьмая руна
"Знаменитый бывший автогонщик Максим Авдеев 12 лет назад попал в тюрьму по ложному обвинению. За эти годы его жена Ирина погибла при трагических обстоятельствах, дочку Сашу удочерила другая семья. Человек, ставший причиной злоключений Максима, Евгений Полонский остался на свободе. Выйдя из тюрьмы, Максим дал себе зарок не оборачиваться назад: не мстить и не жалеть себя. Его единственное желание – увидеть свою дочь. Давний друг Максима, Федорович, пытается устроить ему  новую жизнь и разыскать девочку, но это оказывается непросто...",Чужая дочь
"Пять попыток сказать самое важное, через немоту и страх быть непонятым. Пять шагов к себе, сквозь отражение в самых близких людях. Пять вдохов, чтобы идти дальше, преодолевая пустоту и страх смерти, в поисках и обретении любви. Разные герои проходят этот путь с одним лишь желанием быть услышанными и принятыми такими, какие они есть. Но возможно ли это?",Диалоги
"Первые годы после Октябрьской революции. После неудачного покушения на барона Врангеля и гибели агента разведуправления, разрабатывается новый хитроумный план по реализации «Крымской миссии». На это дело назначают лучшего агента — Елену Голубовскую. В Крыму Голубовская появляется уже как Эль Феррари – одарённая итальянская поэтесса. Её задачей становится устранение Врангеля с целью деморализации белого движения, а также контроль над операцией по похищению золота. Её планам мешает Максимилиан Эрмлер, журналист местной газеты, оказавшийся по совместительству агентом британской разведки.",Легенда Феррари
"Сюжет закручен вокруг работы экспертов-криминалистов и оперативников. Руководит командой опытный криминалист Андрей Макаров, у которого в подчинении такие же, как и он, спецы –  компьютерный гений Стас Ким, эксперт, исследующий причины преступности, Ройзман, а также  любознательная практикантка Леся Бильчак.",Спецы
"Катя, 45-летняя заведующая библиотеки, влюбляется в моряка. Однако тот уходит от Кати к ее лучшей подруге. Получив в наследство от отца квартиру, Катя готова отдать ее тому, кто убьет подругу, отнявшую у нее любимого.","Бубен, барабан"
"…В семнадцать лет все говорят и думают о сексе. На самом же деле ждут любви, — той самой — первой, большой и настоящей. В семнадцать лет пишут письма по электронной почте с признанием в любви и страдают оттого, что их принимают за вирус. Влюбляются в голос незнакомки и уводят любимых девушек с их собственной свадьбы.",Займемся любовью
"Главный герой истории – Алексей,  талантливый  программист  из  Новосибирска, приезжает в Москву и становится членом закрытого полулегального элитного клуба под названием «Спираль». Как новичку ему крупно везет, и он выигрывает одну экстремальную игру клуба за другой, получая сумасшедшие гонорары. В него влюбляется такая девушка, о какой он даже не мог мечтать. ",Спираль
"В Лос Анджелесе, в самом романтичном городе в мире, встретились два самых неромантичных человека - она на первом свидании выбросила его букет в помойку, а он поил ее самым невкусным кофе в городе. Она пришла на второе свидание в одном нижнем белье, а он обманул ее, так и не решившись безрассудно своровать для нее платье в магазине. И тем не менее, это были самые красивые несколько дней в жизни каждого из них. ",Любовь в городе ангелов
"Молодой клерк Джонатан отправляется за тридевять земель, в страну Трансильванию, лежащую у подножья Карпатских гор, и где, как известно по сказкам и фильмам обитают оборотни, вампиры и мрачный граф Дракула.",Носферату. Ужас ночи
"1983 год. Телевизионный редактор Соня и переводчик из Франции Андрэ встретились в Москве и полюбили друг друга. У Сони есть сын-подросток и муж, успешный писатель. У Андрэ тоже есть семья в Париже. И вдруг для них исчезло все, кроме внезапно нахлынувшей страсти. Несколько дней своей жизни они были абсолютно счастливы, однако боги не остались равнодушными...",Зависть богов
"В основу истории легло реальное научное открытие российского физика Михаила Филиппова, которое он совершил в начале XX века. Учёный исследовал электромагнитные волны и проводил опыты по передаче энергии взрыва на расстоянии. Это явление получило название «гипотетический луч Филиппова». Сериал покажет, чем могла бы обернуться для человечества Вторая мировая война, если бы разработки Филиппова не были уничтожены.",Охота на дьявола
"Красота простой деревенской девушки Катерины Пановой (Карина Андоленко) покорила мир. Она стала лицом советской моды 60-х годов и первой манекенщицей, признанной на Западе. Русской красавице рукоплескали Париж и Прага, пресса называла ее «национальным достоянием СССР», а дома ее ждала советская действительность, зависть, интриги, ревность и трагическая любовь... 1961 г. В небольшой подмосковной деревне живет семья Пановых. Отец Михаил ревнует жену к давнему прошлому. Поводом является его дочь-красавица Катя, которая совершенного не похожа на него, в отличие от своей сестры Любы. Катя отвергает всех местных кавалеров. Она верит, что ей уготована иная судьба. Ее заветная мечта - стать манекенщицей и отправиться в Париж. После очередного скандала с родителями Катерина решает осуществить свою мечту. Она отправляется в Москву и просит помощи у молодого успешного модельера Вени Кротова. Он решает дать шанс деревенской девушке и устраивает ее демонстратором одежды. За короткое время Катя становится ведущей манекенщицей Дома Мод. Когда ее фотография появляется в газете, Катю находит журналист-международник Феликс Крутский. Он искал ее с тех пор, как увидел на танцах в деревенском клубе. Несмотря на то, что родители прочат ему в жены другую девушку - известную молодую киноактрису Марианну Нечаеву, Феликс назначает Катерине свидание. Чем обернется для Кати прекрасная сказка? Выдержит ли ее любовь испытание славой?",Королева красоты
"История «советского Пеле» Эдуарда Стрельцова. Олимпийский чемпион Мельбурна, великий нападающий сборной страны и команды «Торпедо», он вел борьбу до победного не только на поле, но и в жизни. Непростые отношения с женщинами, интриги завистников, месть властей, предательство друзей – через все испытания он проходил благодаря преданности болельщиков и бесконечной любви к футболу.",В созвездии Стрельца
"В основе сюжета - история троих современных мальчишек, поступающих в кадетский корпус воздушно-десантного профиля. Много различных приключений придется пережить ребятам, пройти длинный путь от непонимания и вражды до дружбы и даже совместного подвига, пока они получат право на кадетские погоны…",Кадеты
,Раскраска
"Жизнь и судьба Бориса Немцова - это история России последних 25 лет. Эта история начинается в 90-х, когда на Немцова смотрели как на будущего президента страны, и заканчивается в феврале 2015 года, когда он был убит на Москворецком мосту напротив московского Кремля как представитель уличной оппозиции.",Слишком свободный человек
"Мессинг родился в последний год 19 века, чтобы стать одной из главных загадочных и судьбоносных личностей века двадцатого. Мальчик из бедной еврейской семьи был вынужден рано начать самостоятельную жизнь. Он отправился в Германию, где брался за самую черную работу. Его сверхъестественные телепатические способности обнаружились совершенно случайно при почти мистических обстоятельствах. ",Вольф Мессинг: Видевший сквозь время
"Судьба главной героини Кати Трапезниковой плотно переплетена с историей нашей страны с 50-х годов прошлого века до конца 90-х. Катя пережила арест отца и его гибель в сталинских лагерях. Похоронила маму, не сумевшую пережить трагедию. Потом в жизнь Кати пришла любовь. Яркая. Красивая. А после – горькое разочарование в любимом человеке… Катя смогла найти себя в профессии, но и тут случилось страшное: по ложному обвинению героиня оказалась в колонии. Выдержать все испытания ей помогла новая любовь, которую Катя счастливо пронесла через всю свою оставшуюся жизнь.",Непридуманная жизнь
"Жизнь и обстоятельства гибели красного командира Григория Ивановича Котовского до сих пор окутаны тайной. Котовский - одна из наиболее ярких фигур Октябрьской революции. Необычайная смелость, отвага и разбойничья удаль создали легенды вокруг его имени.",Котовский
"Российский социолог Максим Шугалей и его коллега-переводчик Самер Суэйфан до сих пор содержатся в ливийской тюрьме. Уже больше года они ежедневно подвергаются пыткам и психологическому насилию. Находясь в заключении, Максим Шугалей сталкивается с разными людьми, которые оказываются, иногда неосознанно, источниками информации о ситуации в Триполи. Слушая их истории, социолог буквально по крупицам собирает ценную информацию, которая может стать решающей для всего мирового сообщества. ",Шугалей 2
"Фильм о самом современном истребителе корпорации «Сухой», носящем кодовое название «СУ-XX». Цель бывших сотрудников ЦРУ, ставших наемными боевиками, чужими руками столкнуть два государства: Россию и США.",Зеркальные войны: Отражение первое
"Давно разлюбившая друг друга пара – Саша, девушка из богатой семьи, и ее бойфренд Илья – проводят зимние каникулы в отрезанном от внешнего мира доме на берегу океана на севере Франции.",Холодный фронт
"Документальный фильм рассказывает о первом годе жизни бурых медведей по сценарию, написанному самой природой. На протяжении семи месяцев съёмочная группа наблюдала за несколькими медвежьими семьями на территории Южно-Камчатского федерального заказника им. Т.И. Шпиленка, чтобы запечатлеть тайны взросления одного из самых крупных хищников России. ",Медведи Камчатки. Начало жизни
"Столичному топ-менеджеру Диме Королёву приходится вернуться в родной Залещинск спустя десять лет, чтобы выкупить местный ДК для строительства торгового центра. Но на пути к бизнес-проекту встанет его бывшая девушка Алёна и по совместительству директор ДК, а также приставучие родственники, которые напомнят амбициозному парню о его корнях.",Корни
"Попав в город своего детства, Дмитрий встречает юную Машу. Ему за сорок, она школьница. Однако всем известный сюжет «Лолиты» разворачивается по непредсказуемому сценарию.",Слоны могут играть в футбол
"Молодой бизнесмен Юрий Платонов с лёгкостью достиг всего, о чём можно было мечтать: крупный издательский дом, положение в обществе, красавица-жена и даже личный самолёт. Он успешен во всём, за что ни берётся — так не бывает!",Игра
"В одном из московских парков находят труп 40-летней женщины. По мнению следствия, ее смерть наступила по естественным причинам, поэтому уголовное дело не заводится. Однако муж погибшей, банковский аналитик и бывший математик Сотников, уверен: его жену убили. ","Прощай, любимая..."
"Кира, Федя, Артем и Женя продолжают борьбу с несправедливостью. Друзья полны сил и уверенности в себе, ведь им удалось наказать беспринципного олигарха Сергея Полянского и выбраться из опасной авантюры в Бангкоке. В Москве «Неуловимых» ожидает новое задание. К ним за помощью обращается девушка, брат которой пропал без вести. Друзья выясняют, что парень попал в плохую компанию и связан с подпольным казино, в котором «золотая молодежь» играет в карты на жизни простых ребят.",Неуловимые: Джекпот
"Ровно через 48 часов в Москве прогремит взрыв. Это последняя информация, которую успел передать перед смертью погибший агент. К расследованию подключаются все спецслужбы, но особые надежды возлагают на недавно созданную независимую оперативную группу.",Обратный отсчет
"В размеренную жизнь провинциального городка врывается Антонина - гордая, красивая, смелая. Устроившись на работу школьной учительницей рисования, она узнает, что весь город держат в страхе местный хулиган и его старший брат, опасный преступник. Жители делают вид, что их жизнь такая, какой и должна быть, стараясь не высовываться, чтобы не нарваться на неприятности. Но Антонина не готова мириться с таким положением дел в городе.",Простой карандаш
"Игорь готов на всё ради счастья Полины и, чтобы восполнить утрату сына, супруги решаются на усыновление. Но вместо обычного мальчика из приюта в их семью попадает не просто «трудный» ребенок…",Тварь
"Сотрудница внутренних органов Мария Климова направлена в Одессу усмирять тамошнюю разгулявшуюся преступность, внедрившись под прикрытием в местную банду одного из самых крупных криминальных авторитетов - Бриллианта. Теперь она обычная воровка по кличке Мурка. При этом Мария так хорошо вживается в эту роль, что вскоре приобретает большое уважение со стороны своих новых «коллег» и становится прототипом Мурки из знаменитой песни.",Мурка
"Во время Второй мировой войны на территории, оккупированной немцами, разбивается советский самолёт, но летевшие в нём на задание лётчик Гривцов и его возлюбленная радистка Катя чудом спасаются. Удалось выжить и штурману Линько. Каждому из них теперь придётся найти свой путь, чтобы выполнить боевое задание, вернуться к своим и выжить...",Баллада о бомбере
"Действие картины происходит в середине XIX века. Небольшой провинциальный городок Розгов, где начинается действие картины, расположен прямо на берегу Волги. Зажиточный купец-тысячник Потап Максимыч Чапурин привозит на ярмарку партию посуды на продажу. Туда же прибывает владелец мукомолен Масленников со своим сыном, двадцатилетним Евграфом. Масленников покупает у Чапурина партию посуды, и они решают отметить удачную сделку и знакомство.",В лесах и на горах
"На что ты готов ради своей девушки?... А если она проститутка во вьетнамском борделе? А если его владелец хочет вышибить тебе мозги? А если ты должен кучу бабок местному нарко-барыге? Главному герою Диме предстоит провернуть аферу всей его жизни. Но как это сделать, когда тебя окружают самые неподходящие для этого люди? Они – суперплохие герои нашего времени. Встречайте команду мечты: Сексмашина, Цыпочка, Барыга, Стерва, Выживший, Ниндзя и Гопник. ",Суперплохие
"Четвёрка героев живёт своей обычной жизнью отдельно друг от друга, пока в новостях не появляется сюжет про таинственную девушку (Киру), которая голышом въехала на Красную площадь на коне. Артем, Федя и Женя побросали все свои дела и помчались выяснять причины такого перфоманса. Оказалось, что эксцентричный характер Киры здесь ни при чем, и все пути теперь ведут в Бангкок - к их давнему знакомому Сергею Полянскому.",Неуловимые: Бангкок
"Арест Трошина круто меняет не только его судьбу, но и жизни всех главных героев истории. А за свое освобождение Трошин расплачивается самым дорогим – любовью. Их с Ниной отношения подвергаются серьезнейшим испытаниям, главное из которых – Николай, муж Нины, который, оказывается, жив. Но, несмотря на личные проблемы, Трошин вновь на посту. Он, по-прежнему, участковый в Марьиной Роще, обстановка в которой постепенно накаляется.",Марьина роща 2
"Петр страстно любит свою жену Лизу и фанатично предан своей работе. Он создает марионеток. Главным его шедевром становится точная копия Лизы. Он одержим своим творением, грань между вымыслом и реальностью, куклой и живой женщиной стирается в его воображении. Ведь самая увлекательная игрушка – это чужая жизнь...",Синдром Петрушки
,КВН. Премьер-лига
"Оперативного работника уголовного розыска Сергея Кузьмичева посылают в Москву с целью внедрения в одну из преступных группировок. Его первое задание представляется не очень сложным. Молодой парень из провинции, якобы приехавший на заработки, успешно с ним справляется.",Крот
"Тридцать лет прошло с тех пор, как зрители впервые познакомились с веселым Трубадуром, прекрасной Принцессой и их четвероногими друзьями-музыкантами. Много воды утекло с тех пор, у Трубадура и Принцессы родился сын, король обеднел, зато вольготно живется теперь разбойникам, плетет интриги Атаманша, ставшая Банкиршей.",Новые Бременские
"События фильма разворачиваются в 1961 году на Байконуре. Лента рассказывает о шести неделях жизни врача Даниила Покровского, который готовит отряды космонавтов к выходу в космос, разрываясь от страха за этих героических людей и любви и жалости к двум близким ему женщинам - жене и любовнице.",Бумажный солдат
"Действие картины разворачивается в далекие 80-е. Четверо молодых ребят познакомились во время учебы в школе КГБ. После окончания этого заведения судьба раскидала их в разные стороны. Кто-то уехал работать за границу, другие остались жить и работать в СССР. Но встреча неизбежна, потому что есть тайна, известная только им…",Последняя встреча
"Женя Красилова – решительная и бескомпромиссная личность, она мечтает заниматься серьёзной журналистикой и, как минимум, «спасти мир», донося до читателей сокровенную правду жизни. Однако пока что ей приходится подрабатывать в сомнительном жёлтом издании и сочинять скандальные небылицы о жизни «звёзд». Однажды из-под её едкого пера выходит статья «Как выйти замуж за миллионера», в которой она крепко задевает известного столичного предпринимателя - Леонида Раевского и его подругу. Попавшей под горячую руку Жене приходится заключить пари с оскорблённым олигархом. В течение месяца она должна доказать, что действительно разбирается в материале, и добиться того, чтобы какой-нибудь миллионер сделал ей предложение.",Как выйти замуж за миллионера
"Женя живет в маленьком провинциальном городке. Он просиживает за компьютерами сутками, не отвлекаясь на еду и сон. Однажды Женя выясняет: на виртуальной реальности можно неплохо заработать. Начав с порносайтов, юноша вскоре получает свои первые деньги. Это в корне меняет его жизнь: больше он – не школьный изгой. Вчерашние недруги здороваются первыми, а самые красивые девочки ищут с ним встреч. ",Как поднять миллион. Исповедь Z@drota
"Ванька работает швейцаром в гостинице. Он ненавидит ее обеспеченных постояльцев, но при этом мечтает пожить их роскошной жизнью. А пока вынужден жить в машине, купленной в кредит, так как из съемной квартиры его выгнали за неуплату. В этой и без того непростой ситуации на голову парня сваливается коллектор Сергей Сергеевич, который твердо решил выбить из Ваньки долг. Чтобы хоть как-то отсрочить расправу, Ванька выдает себя за сына богатого фермера, который с легкостью погасит кредит. Но по дороге на ферму попутчики поневоле попадают в аварию, которая оборачивается для Ваньки неожиданным спасением. Нечистый на руку мэр провинциального городка и вороватые сотрудники его администрации принимают московских гостей за представителей Следственного комитета. Вчерашнего швейцара ждет королевский прием и взятка в виде руки и сердца мэрской дочки… или скандальное разоблачение.",День дурака
"Дирижер отправляется со своим оркестром в Иерусалим, чтобы исполнить ораторию «Страсти по Матфею». Но гастроли оборачиваются трагедией. Черное солнце Иерусалима срывает с главного героя маску  благополучного художника, заставляет увидеть себя в беспощадной наготе эгоизма и жестокости. Иногда за 3 дня человек может полностью переоценить и переосмыслить свою жизнь. Меняться никогда не поздно.",Дирижёр
